velocitys,altitude,latitude,longitude,time_utc
7435.189048429399,438,-46.999,6.9454,17/10/2021 00:38:50
7369.329265923844,436,-43.3307,16.2202,17/10/2021 00:40:52
7424.55216587213,434,-38.9085,24.3105,17/10/2021 00:42:53
7357.967530283363,432,-33.9521,31.3074,17/10/2021 00:44:55
7414.5860835394205,430,-28.567,37.4713,17/10/2021 00:46:56
7346.541507037982,427,-22.9101,42.9471,17/10/2021 00:48:58
7403.787582443003,425,-17.0206,47.9553,17/10/2021 00:51:00
7401.538025594664,423,-10.9385,52.6615,17/10/2021 00:53:04
7339.085222187726,422,-4.7448,57.1747,17/10/2021 00:55:06
7401.197656611708,421,1.4112,61.546,17/10/2021 00:57:07
7403.205847642764,420,7.5585,65.9446,17/10/2021 00:59:09
7348.38847120655,420,13.6275,70.4682,17/10/2021 01:01:11
7413.557966505323,420,19.6642,75.3184,17/10/2021 01:03:13
7358.806080170583,420,25.4602,80.5176,17/10/2021 01:05:14
7427.477392303182,421,31.0367,86.3098,17/10/2021 01:07:16
7374.850255799907,422,36.2501,92.8351,17/10/2021 01:09:17
7443.330023218263,422,41.0139,100.3534,17/10/2021 01:11:19
7388.446378479491,423,45.1228,108.9952,17/10/2021 01:13:20
7455.033501996176,423,48.4071,118.9436,17/10/2021 01:15:21
7396.97900444575,423,50.6206,130.037,17/10/2021 01:17:25
7461.01916099725,423,51.5962,142.238,17/10/2021 01:19:27
7461.800292772319,423,51.1905,154.2971,17/10/2021 01:21:28
7458.887735796933,422,49.4746,165.8434,17/10/2021 01:23:30
7392.760396224972,421,46.6205,176.2763,17/10/2021 01:25:31
7450.631337824808,421,42.8199,-174.5147,17/10/2021 01:27:33
7382.046325700994,420,38.2781,-166.5,17/10/2021 01:29:35
7437.854262553462,419,33.2161,-159.5724,17/10/2021 01:31:37
7367.767444984266,418,27.7847,-153.5135,17/10/2021 01:33:38
7422.417408984835,418,22.0501,-148.076,17/10/2021 01:35:40
7354.894952670726,418,16.1437,-143.132,17/10/2021 01:37:41
7410.929646316084,418,10.0834,-138.4913,17/10/2021 01:39:43
7347.612502515455,419,3.9727,-134.0617,17/10/2021 01:41:44
7405.8866120846915,420,-2.1902,-129.6888,17/10/2021 01:43:46
7345.21681446717,422,-8.3348,-125.2774,17/10/2021 01:45:47
7407.837416327844,424,-14.4146,-120.7109,17/10/2021 01:47:49
7349.762805136305,427,-20.3527,-115.8848,17/10/2021 01:49:50
7419.102847552207,429,-26.1391,-110.6149,17/10/2021 01:51:53
