velocitys,velocity_api,altitude,latitude,longitude,time_utc
26790.68345697291,27524,440,-51.4772,35.123,17/10/2021 20:42:16
26560.82532771252,27524,440,-50.2049,46.8213,17/10/2021 20:44:18
26773.332781084355,27526,439,-47.7253,57.6479,17/10/2021 20:46:19
26754.333164764193,27529,437,-44.2416,67.2527,17/10/2021 20:48:21
26516.446109466164,27533,435,-39.9893,75.579,17/10/2021 20:50:22
26717.004398603643,27538,433,-35.1255,82.8328,17/10/2021 20:52:24
26474.463019428524,27543,431,-29.8455,89.1503,17/10/2021 20:54:25
26678.649422949726,27549,429,-24.2248,94.7853,17/10/2021 20:56:27
26440.976769316763,27554,427,-18.4014,99.8707,17/10/2021 20:58:28
26649.618038422006,27560,425,-12.3981,104.605,17/10/2021 21:00:30
26423.51810241795,27565,423,-6.3211,109.0845,17/10/2021 21:02:31
26863.731073240193,27569,422,-0.1456,113.4843,17/10/2021 21:04:33
26431.23640833049,27574,421,5.9829,117.847,17/10/2021 21:06:35
26665.683997173608,27577,421,12.0943,122.3406,17/10/2021 21:08:36
27126.511214011443,27581,421,18.1628,127.1093,17/10/2021 21:10:39
27371.371166670564,27583,421,24.1022,132.2785,17/10/2021 21:12:42
26733.60201667544,27585,421,29.7442,137.9188,17/10/2021 21:14:44
26542.32536141245,27587,422,35.0485,144.2461,17/10/2021 21:16:45
26571.88396930054,27589,423,39.9373,151.5159,17/10/2021 21:18:47
26813.548470987553,27590,423,44.2299,159.9055,17/10/2021 21:20:48
27721.092787915437,27591,423,47.78,169.7258,17/10/2021 21:22:52
26626.9542585931,27592,423,50.2561,-179.3237,17/10/2021 21:24:55
26857.18349092158,27593,423,51.499,-167.4962,17/10/2021 21:26:56
26862.654271890147,27594,423,51.3996,-155.3558,17/10/2021 21:28:58
26628.794591978945,27595,422,49.9763,-143.6758,17/10/2021 21:30:59
26838.867933500922,27596,421,47.3536,-132.9277,17/10/2021 21:33:01
26602.311212491422,27597,421,43.7608,-123.468,17/10/2021 21:35:02
26802.96234548969,27597,420,39.3863,-115.2161,17/10/2021 21:37:04
26556.702872648726,27597,419,34.4565,-108.0893,17/10/2021 21:39:05
26750.150539757058,27596,418,29.0842,-101.8255,17/10/2021 21:41:07
26723.108384436022,27594,417,23.4065,-96.2534,17/10/2021 21:43:08
26479.18373111103,27592,417,17.5394,-91.2137,17/10/2021 21:45:10
26684.495358356064,27588,418,11.5035,-86.5093,17/10/2021 21:47:11
